mjd, filter, maglim 
58726.24853861, i, 24.1943168706311 
58726.24853861, i, 24.252937963071 
58726.20089652, i, 23.9927018403349 
58726.25475886, i, 24.2116817254728 
58726.24853861, i, 24.1935906402161 
58726.2366036, i, 24.3134510834451 
58726.23977632, i, 24.171926608493 
58726.25475886, i, 24.3632976498376 
58726.22747708, i, 24.1017436189599 
58726.23977632, i, 24.1275843891923 
58726.20089652, i, 23.9513363459128 
58726.20089652, i, 23.9961189397103 
58726.20089652, i, 23.9602643279215 
58726.20089652, i, 24.0588549380896 
58726.20089652, i, 24.0072686487473 
58726.21880039, i, 24.2367492663397 
58726.19797998, i, 23.6795453032946 
58726.21880039, i, 24.2346507518763 
58726.20089652, i, 23.9623561706089 
58726.22456902, i, 24.3521816347845 
58726.23977632, i, 24.1830428220785 
58726.23977632, i, 24.1703104869796 
58726.20954285, i, 24.0240555130224 
58726.20089652, i, 24.0103377292497 
58726.24853861, i, 24.2179541482451 
58726.22747708, i, 24.1739764689131 
58726.20089652, i, 23.9988851431585 
58726.22747708, i, 24.1522302155095 
58726.24853861, i, 24.1845086416592 
58726.20954285, i, 24.0427942674623 
58726.25475886, i, 24.3581178160416 
58726.23977632, i, 24.1198260992775 
58726.24853861, i, 24.2403651901227 
58726.20089652, i, 24.0487585625917 
58726.24853861, i, 24.1710366462949 
58726.25475886, i, 24.3519836612548 
58726.24853861, i, 24.1117668821875 
58726.20089652, i, 24.038646679412 
58726.20089652, i, 23.9366842715194 
58726.22747708, i, 24.1568423142155 
58726.24853861, i, 24.2288489996075 
58726.23977632, i, 24.1826357386507 
58726.22747708, i, 24.1583328614897 
58726.22747708, i, 24.1684321691915 
58726.22747708, i, 24.1651581485285 
58726.20089652, i, 24.0166741378387 
58726.20089652, i, 23.9346839799291 
58726.20089652, i, 23.8135438947061 
58726.20954285, i, 24.0293308175296 
58726.22747708, i, 24.1045186291249 
58726.20954285, i, 23.9782480595631 
58726.24853861, i, 24.224659790663 
58726.2366036, i, 24.1895292258728 
58726.22747708, i, 24.1863275378408 
58726.23977632, i, 24.1717117093485 
58726.23372955, i, 24.2278023588137 
58726.23372955, i, 24.1819514098186 
58726.23372955, i, 24.2221389198735 
58726.23372955, i, 24.2207690339123 
58726.21880039, i, 24.2568277269078 
58726.25475886, i, 24.2839811254205 
58726.22747708, i, 24.0909447911212 
58726.24853861, i, 24.2073999613193 
58726.23977632, i, 24.1032759260631 
58726.23977632, i, 24.1543829050011 
58726.23977632, i, 24.1871082572703 
58726.23977632, i, 24.1573773386355 
58726.23977632, i, 24.1597302723511 
58726.22747708, i, 24.1379122334261 
58726.20954285, i, 24.0158143219543 
58726.23372955, i, 24.2044717697761 
58726.25475886, i, 24.2339300650089 
58726.20377218, i, 23.8153576398358 
58726.25475886, i, 24.285399358908 
58726.20954285, i, 24.0570073844452 
58726.23977632, i, 24.1809847212583 
58726.24853861, i, 24.2365465047115 
58726.20954285, i, 24.015862367428 
58726.22747708, i, 24.1879309518017 
58726.2366036, i, 24.2886389105209 
58726.25475886, i, 24.3342679310707 
58726.24853861, i, 24.2171612434143 
58726.24853861, i, 24.2239863931502 
58726.24853861, i, 24.1855822000255 
58726.24853861, i, 24.2507844573596 
58726.24853861, i, 24.1754227419967 
58726.24853861, i, 24.2073260156872 
58726.20954285, i, 24.0178067669835 
58726.25475886, i, 24.3100601669764 
58726.24853861, i, 24.2572746230979 
58726.24853861, i, 24.2313809318739 
58726.22747708, i, 24.1710950844808 
58726.24853861, i, 24.2316223717841 
58726.22747708, i, 24.1462563141349 
